no,name,name_kana,name_roman,province,img_caption,latitude,longitude,wikipedia_ja,wikipedia_en
0,日本橋,にほんばし,Nihonbashi,武蔵国,朝之景 / 行列振出,35.683611,139.774444,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E6%A9%8B_(%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%AD%E5%A4%AE%E5%8C%BA%E3%81%AE%E6%A9%8B),https://en.wikipedia.org/wiki/Nihonbashi
1,品川宿,しながわ,Shinagawa,武蔵国,日之出,35.621944,139.739167,https://ja.wikipedia.org/wiki/%E5%93%81%E5%B7%9D%E5%AE%BF,https://en.wikipedia.org/wiki/Shinagawa-juku
2,川崎宿,かわさき,Kawasaki,武蔵国,六郷渡舟,35.535556,139.707778,https://ja.wikipedia.org/wiki/%E5%B7%9D%E5%B4%8E%E5%AE%BF,https://en.wikipedia.org/wiki/Kawasaki-juku
3,神奈川宿,かながわ,Kanagawa,武蔵国,台之景,35.472778,139.632278,https://ja.wikipedia.org/wiki/%E7%A5%9E%E5%A5%88%E5%B7%9D%E5%AE%BF,https://en.wikipedia.org/wiki/Kanagawa-juku
4,保土ヶ谷宿,ほどがや,Hodogaya,武蔵国,新町橋,35.444028,139.595556,https://ja.wikipedia.org/wiki/%E4%BF%9D%E5%9C%9F%E3%83%B6%E8%B0%B7%E5%AE%BF,https://en.wikipedia.org/wiki/Hodogaya-juku
5,戸塚宿,とつか,Totsuka,相模国,元町別道,35.395028,139.529861,https://ja.wikipedia.org/wiki/%E6%88%B8%E5%A1%9A%E5%AE%BF,https://en.wikipedia.org/wiki/Totsuka-juku
6,藤沢宿,ふじさわ,Fujisawa,相模国,遊行寺,35.345667,139.486306,https://ja.wikipedia.org/wiki/%E8%97%A4%E6%B2%A2%E5%AE%BF,https://en.wikipedia.org/wiki/Fujisawa-shuku
7,平塚宿,ひらつか,Hiratsuka,相模国,縄手道,35.327278,139.337806,https://ja.wikipedia.org/wiki/%E5%B9%B3%E5%A1%9A%E5%AE%BF,https://en.wikipedia.org/wiki/Hiratsuka-juku
8,大磯宿,おおいそ,Ōiso,相模国,虎ヶ雨,35.309000,139.315306,https://ja.wikipedia.org/wiki/%E5%A4%A7%E7%A3%AF%E5%AE%BF,https://en.wikipedia.org/wiki/%C5%8Ciso-juku
9,小田原宿,おだわら,Odawara,相模国,酒匂川,35.248722,139.161028,https://ja.wikipedia.org/wiki/%E5%B0%8F%E7%94%B0%E5%8E%9F%E5%AE%BF,https://en.wikipedia.org/wiki/Odawara-juku
10,箱根宿,はこね,Hakone,相模国,湖水図,35.190417,139.026361,https://ja.wikipedia.org/wiki/%E7%AE%B1%E6%A0%B9%E5%AE%BF,https://en.wikipedia.org/wiki/Hakone-juku
11,三島宿,みしま,Mishima,伊豆国,朝霧,35.119250,138.914472,https://ja.wikipedia.org/wiki/%E4%B8%89%E5%B3%B6%E5%AE%BF,https://en.wikipedia.org/wiki/Mishima-shuku
12,沼津宿,ぬまづ,Numazu,駿河国,黄昏図,35.100111,138.857417,https://ja.wikipedia.org/wiki/%E6%B2%BC%E6%B4%A5%E5%AE%BF,https://en.wikipedia.org/wiki/Numazu-juku
13,原宿,はら,Hara,駿河国,朝之富士,35.125528,138.797333,https://ja.wikipedia.org/wiki/%E5%8E%9F%E5%AE%BF_(%E6%9D%B1%E6%B5%B7%E9%81%93),https://en.wikipedia.org/wiki/Hara-juku_(T%C5%8Dkaid%C5%8D)
14,吉原宿,よしわら,Yoshiwara,駿河国,左富士,35.162778,138.685639,https://ja.wikipedia.org/wiki/%E5%90%89%E5%8E%9F%E5%AE%BF,https://en.wikipedia.org/wiki/Yoshiwara-juku
15,蒲原宿,かんばら,Kanbara,駿河国,夜之雪,35.119972,138.605472,https://ja.wikipedia.org/wiki/%E8%92%B2%E5%8E%9F%E5%AE%BF,https://en.wikipedia.org/wiki/Kanbara-juku
16,由比宿,ゆい,Yui,駿河国,薩埵嶺,35.107611,138.567472,https://ja.wikipedia.org/wiki/%E7%94%B1%E6%AF%94%E5%AE%BF,https://en.wikipedia.org/wiki/Yui-shuku
17,興津宿,おきつ,Okitsu,駿河国,興津川,35.049833,138.519556,https://ja.wikipedia.org/wiki/%E8%88%88%E6%B4%A5,https://en.wikipedia.org/wiki/Okitsu-juku
18,江尻宿,えじり,Ejiri,駿河国,三保遠望,35.019889,138.480861,https://ja.wikipedia.org/wiki/%E6%B1%9F%E5%B0%BB%E5%AE%BF,https://en.wikipedia.org/wiki/Ejiri-juku
19,府中宿,ふちゅう,Fuchū,駿河国,安部川,34.974917,138.387639,https://ja.wikipedia.org/wiki/%E5%BA%9C%E4%B8%AD%E5%AE%BF_(%E6%9D%B1%E6%B5%B7%E9%81%93),https://en.wikipedia.org/wiki/Fuch%C5%AB-shuku
20,鞠子宿,まりこ,Mariko,駿河国,名物茶屋,34.949417,138.342444,https://ja.wikipedia.org/wiki/%E9%9E%A0%E5%AD%90%E5%AE%BF,https://en.wikipedia.org/wiki/Mariko-juku
21,岡部宿,おかべ,Okabe,駿河国,宇津之山,34.918833,138.282667,https://ja.wikipedia.org/wiki/%E5%B2%A1%E9%83%A8%E5%AE%BF,https://en.wikipedia.org/wiki/Okabe-juku
22,藤枝宿,ふじえだ,Fujieda,駿河国,人馬継立,34.869806,138.252722,https://ja.wikipedia.org/wiki/%E8%97%A4%E6%9E%9D%E5%AE%BF,https://en.wikipedia.org/wiki/Fujieda-juku
23,島田宿,しまだ,Shimada,駿河国,大井川駿岸,34.832806,138.175861,https://ja.wikipedia.org/wiki/%E5%B3%B6%E7%94%B0%E5%AE%BF,https://en.wikipedia.org/wiki/Shimada-juku
24,金谷宿,かなや,Kanaya,遠江国,大井川遠岸,34.822861,138.129278,https://ja.wikipedia.org/wiki/%E9%87%91%E8%B0%B7%E5%AE%BF,https://en.wikipedia.org/wiki/Kanaya-juku
25,日坂宿,にっさか,Nissaka,遠江国,佐夜ノ中山,34.804139,138.075361,https://ja.wikipedia.org/wiki/%E6%97%A5%E5%9D%82%E5%AE%BF,https://en.wikipedia.org/wiki/Nissaka-shuku
26,掛川宿,かけがわ,Kakegawa,遠江国,秋葉山遠望,34.772917,138.015889,https://ja.wikipedia.org/wiki/%E6%8E%9B%E5%B7%9D%E5%AE%BF,https://en.wikipedia.org/wiki/Kakegawa-juku
27,袋井宿,ふくろい,Fukuroi,遠江国,出茶屋ノ図,34.747472,137.923222,https://ja.wikipedia.org/wiki/%E8%A2%8B%E4%BA%95%E5%AE%BF,https://en.wikipedia.org/wiki/Fukuroi-juku
28,見附宿,みつけ,Mitsuke,遠江国,天竜川図,34.726806,137.857028,https://ja.wikipedia.org/wiki/%E8%A6%8B%E9%99%84%E5%AE%BF,https://en.wikipedia.org/wiki/Mitsuke-juku
